Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
31,Bread,42,22-03-25,535,Grocery Store,Valdezborough,Non-Vegetarian,Snacks
32,Rice,27,21-03-25,611,Supermarket,Port Kendraborough,Non-Vegetarian,Lunch
33,Salad,9,27-03-25,798,Grocery Store,North Amanda,Vegetarian,Breakfast
34,Bread,3,30-03-25,396,Catering Service,Heatherside,Vegan,Breakfast
35,Rice,6,23-03-25,108,Supermarket,East Austin,Vegan,Breakfast
36,Rice,35,20-03-25,1,Supermarket,New Jessica,Vegan,Breakfast
37,Fish,19,20-03-25,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner
38,Bread,48,22-03-25,440,Grocery Store,Elliottberg,Vegetarian,Snacks
39,Bread,48,22-03-25,758,Catering Service,Port Patrick,Non-Vegetarian,Breakfast
40,Fruits,12,27-03-25,965,Restaurant,Port Bryce,Vegetarian,Breakfast
41,Chicken,14,27-03-25,450,Catering Service,Grahamside,Vegetarian,Dinner
42,Rice,50,16-03-25,179,Supermarket,North Michelle,Vegan,Lunch
43,Pasta,44,22-03-25,29,Grocery Store,Patrickmouth,Vegan,Lunch
44,Bread,39,22-03-25,290,Supermarket,Bradleyport,Vegan,Snacks
45,Fish,17,24-03-25,874,Catering Service,Priceland,Non-Vegetarian,Lunch
46,Pasta,25,28-03-25,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast
47,Salad,3,17-03-25,420,Catering Service,Anthonyton,Vegan,Snacks
48,Rice,30,16-03-25,150,Grocery Store,North Jamesberg,Vegan,Breakfast
49,Fish,41,17-03-25,700,Supermarket,Morriston,Non-Vegetarian,Dinner
50,Salad,28,23-03-25,514,Supermarket,Maxwellburgh,Vegetarian,Dinner
51,Dairy,14,27-03-25,828,Catering Service,Torresshire,Vegetarian,Snacks
52,Vegetables,23,29-03-25,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks
53,Fruits,13,16-03-25,174,Grocery Store,North Carolfurt,Vegetarian,Lunch
54,Soup,15,17-03-25,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks
55,Vegetables,19,17-03-25,967,Grocery Store,Coleburgh,Vegetarian,Breakfast
56,Vegetables,9,23-03-25,125,Supermarket,Lake April,Non-Vegetarian,Lunch
57,Chicken,23,17-03-25,977,Restaurant,South Jessicachester,Vegan,Dinner
58,Pasta,39,28-03-25,270,Catering Service,Cunninghambury,Vegan,Lunch
59,Vegetables,38,22-03-25,251,Restaurant,East Terrancemouth,Vegan,Snacks
60,Pasta,49,28-03-25,153,Restaurant,Hawkinsmouth,Non-Vegetarian,Breakfast
61,Fruits,33,22-03-25,243,Catering Service,West Catherine,Vegetarian,Lunch
62,Rice,21,21-03-25,520,Catering Service,Port Andre,Non-Vegetarian,Breakfast
63,Salad,6,20-03-25,335,Grocery Store,North Gary,Vegetarian,Dinner
64,Soup,41,26-03-25,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner
65,Fruits,45,26-03-25,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast
66,Fish,6,22-03-25,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast
67,Rice,50,24-03-25,455,Catering Service,Madisonfort,Vegan,Breakfast
68,Rice,15,25-03-25,113,Catering Service,East Elizabethberg,Vegetarian,Snacks
69,Bread,47,16-03-25,504,Catering Service,Gaineschester,Vegetarian,Snacks
70,Rice,7,16-03-25,313,Supermarket,Boylechester,Vegetarian,Lunch
71,Fish,45,19-03-25,750,Supermarket,Michaelton,Vegetarian,Lunch
72,Dairy,11,24-03-25,293,Catering Service,Joneshaven,Vegan,Dinner
73,Soup,48,19-03-25,485,Restaurant,East Andrea,Vegan,Breakfast
74,Chicken,12,29-03-25,387,Grocery Store,West Juliabury,Non-Vegetarian,Breakfast
75,Bread,35,24-03-25,389,Grocery Store,Davidborough,Vegetarian,Dinner
76,Pasta,40,16-03-25,905,Restaurant,North Kennethshire,Vegan,Lunch
77,Rice,4,19-03-25,890,Restaurant,Pereztown,Vegetarian,Lunch
78,Chicken,1,23-03-25,913,Grocery Store,Erikatown,Non-Vegetarian,Dinner
79,Rice,25,19-03-25,100,Catering Service,Mooreview,Vegan,Breakfast
80,Dairy,36,29-03-25,434,Restaurant,Nicoletown,Vegetarian,Breakfast
81,Fruits,33,18-03-25,848,Supermarket,Fowlerbury,Vegetarian,Snacks
82,Vegetables,26,23-03-25,631,Supermarket,North Kevinhaven,Non-Vegetarian,Snacks
83,Rice,44,28-03-25,312,Restaurant,North Ianbury,Vegetarian,Dinner
84,Rice,25,23-03-25,967,Grocery Store,Coleburgh,Vegan,Snacks
85,Pasta,28,16-03-25,554,Restaurant,Brandyberg,Vegan,Lunch
86,Soup,13,30-03-25,288,Supermarket,Maynardstad,Vegetarian,Dinner
87,Salad,37,28-03-25,34,Grocery Store,North Garybury,Vegan,Breakfast
88,Vegetables,22,21-03-25,491,Supermarket,Samanthabury,Non-Vegetarian,Dinner
89,Chicken,3,27-03-25,844,Grocery Store,Olsenstad,Vegan,Lunch
90,Bread,29,23-03-25,477,Supermarket,East Jacobchester,Vegan,Breakfast
91,Vegetables,9,22-03-25,275,Supermarket,Brittanyport,Vegetarian,Breakfast
92,Chicken,42,20-03-25,752,Grocery Store,East Heatherport,Vegetarian,Breakfast
93,Salad,49,20-03-25,264,Catering Service,New Richard,Vegetarian,Lunch
94,Rice,35,16-03-25,722,Restaurant,Linchester,Vegetarian,Lunch
95,Pasta,19,24-03-25,120,Restaurant,New Lisa,Vegan,Snacks
96,Dairy,5,25-03-25,656,Restaurant,South Tiffanyfort,Non-Vegetarian,Breakfast
97,Rice,44,21-03-25,346,Grocery Store,Thomasville,Vegetarian,Dinner
98,Salad,26,29-03-25,632,Supermarket,Davidville,Vegetarian,Breakfast
99,Bread,8,28-03-25,162,Restaurant,Penabury,Non-Vegetarian,Dinner
100,Vegetables,22,18-03-25,647,Restaurant,West Kara,Vegan,Breakfast
101,Dairy,35,23-03-25,538,Restaurant,Jasonmouth,Non-Vegetarian,Dinner
102,Rice,35,19-03-25,584,Supermarket,Moralesside,Vegetarian,Snacks
103,Bread,35,30-03-25,391,Supermarket,South Jerryside,Non-Vegetarian,Snacks
104,Dairy,3,29-03-25,468,Supermarket,East Johnburgh,Non-Vegetarian,Dinner
105,Rice,2,24-03-25,698,Grocery Store,Phillipsmouth,Non-Vegetarian,Breakfast
106,Rice,31,19-03-25,253,Catering Service,Sharonton,Vegetarian,Breakfast
107,Salad,29,25-03-25,464,Catering Service,Port Jacob,Vegetarian,Breakfast
108,Fruits,22,25-03-25,835,Catering Service,Thorntonbury,Non-Vegetarian,Snacks
109,Fruits,7,24-03-25,998,Grocery Store,Joshuastad,Vegan,Dinner
110,Salad,49,17-03-25,354,Catering Service,South Alicia,Vegan,Dinner
111,Soup,13,17-03-25,904,Grocery Store,West Miaside,Vegetarian,Snacks
112,Chicken,32,25-03-25,308,Catering Service,Brittanyside,Vegetarian,Lunch
113,Soup,14,16-03-25,623,Supermarket,Latoyaberg,Vegetarian,Breakfast
114,Vegetables,28,27-03-25,906,Supermarket,West Kevin,Vegan,Breakfast
115,Pasta,8,26-03-25,963,Supermarket,East Bernard,Vegan,Lunch
116,Soup,32,23-03-25,570,Supermarket,Lake Vanessa,Vegetarian,Lunch
117,Soup,32,21-03-25,530,Catering Service,Johnstonhaven,Non-Vegetarian,Snacks
118,Dairy,42,28-03-25,863,Restaurant,Port Michael,Vegan,Lunch
119,Bread,49,28-03-25,135,Catering Service,East Candace,Non-Vegetarian,Breakfast
120,Rice,30,18-03-25,785,Catering Service,Lindseybury,Vegan,Lunch
121,Vegetables,16,30-03-25,314,Restaurant,Rodriguezfurt,Non-Vegetarian,Dinner
122,Fruits,7,20-03-25,846,Supermarket,South Thomasville,Vegan,Snacks
123,Soup,11,25-03-25,148,Grocery Store,Annahaven,Vegetarian,Lunch
124,Salad,50,19-03-25,909,Restaurant,Sheilaburgh,Vegetarian,Snacks
125,Rice,21,17-03-25,982,Grocery Store,Westbury,Vegan,Dinner
126,Dairy,27,18-03-25,54,Supermarket,Lake Rachael,Vegan,Lunch
127,Rice,48,30-03-25,763,Restaurant,Josephburgh,Vegan,Snacks
128,Rice,39,22-03-25,235,Catering Service,Gutierrezshire,Vegetarian,Snacks
129,Chicken,26,21-03-25,798,Grocery Store,North Amanda,Vegan,Dinner
130,Vegetables,47,29-03-25,997,Catering Service,East Rossside,Vegan,Breakfast
131,Fish,16,18-03-25,241,Catering Service,Devinmouth,Vegan,Dinner
132,Soup,20,19-03-25,840,Restaurant,Cisnerostown,Non-Vegetarian,Snacks
133,Rice,28,19-03-25,795,Catering Service,Brownberg,Vegan,Lunch
134,Rice,1,16-03-25,39,Supermarket,Brittanyville,Vegan,Dinner
135,Rice,44,23-03-25,980,Restaurant,Port Melissa,Vegan,Lunch
136,Bread,29,17-03-25,723,Supermarket,Jessicaland,Vegan,Dinner
137,Pasta,29,19-03-25,87,Grocery Store,West Adam,Vegetarian,Snacks
138,Soup,24,18-03-25,558,Catering Service,North Sharonberg,Non-Vegetarian,Snacks
139,Rice,3,20-03-25,446,Catering Service,Port Richardshire,Vegetarian,Dinner
140,Chicken,18,16-03-25,967,Grocery Store,Coleburgh,Vegan,Dinner
141,Dairy,33,29-03-25,702,Supermarket,Lake Mistyton,Non-Vegetarian,Lunch
142,Soup,41,29-03-25,368,Grocery Store,North Lindseychester,Vegetarian,Snacks
143,Fish,18,24-03-25,938,Restaurant,Hollyhaven,Non-Vegetarian,Lunch
144,Bread,18,18-03-25,810,Catering Service,Lake Jason,Vegan,Lunch
145,Rice,12,29-03-25,751,Restaurant,East Richardside,Vegan,Lunch
146,Chicken,17,25-03-25,172,Grocery Store,Garciaside,Vegan,Lunch
147,Vegetables,47,30-03-25,619,Grocery Store,North Katelynland,Non-Vegetarian,Breakfast
148,Pasta,16,18-03-25,650,Restaurant,Garzaville,Non-Vegetarian,Breakfast
149,Fish,18,20-03-25,816,Supermarket,New Jamesburgh,Vegetarian,Breakfast
150,Fish,50,28-03-25,332,Restaurant,West Whitneymouth,Vegan,Snacks
151,Chicken,19,23-03-25,902,Supermarket,Port Robertport,Vegetarian,Dinner
152,Fish,46,24-03-25,58,Grocery Store,North Kevinhaven,Non-Vegetarian,Dinner
153,Fish,20,21-03-25,737,Restaurant,Port Andrea,Vegetarian,Breakfast
154,Pasta,46,30-03-25,4,Grocery Store,Mendezmouth,Vegan,Breakfast
155,Fruits,20,20-03-25,602,Grocery Store,North Destiny,Vegan,Dinner
156,Fish,24,19-03-25,970,Catering Service,Jeffreybury,Vegetarian,Snacks
157,Chicken,37,20-03-25,600,Catering Service,Meganshire,Vegan,Breakfast
158,Bread,22,30-03-25,687,Catering Service,North James,Vegetarian,Breakfast
159,Pasta,7,27-03-25,653,Catering Service,Cameronside,Vegan,Lunch
160,Rice,27,23-03-25,367,Grocery Store,Deckermouth,Vegetarian,Snacks
161,Vegetables,32,20-03-25,414,Supermarket,New Matthew,Non-Vegetarian,Breakfast
162,Pasta,50,21-03-25,826,Supermarket,Lake Karenfurt,Non-Vegetarian,Breakfast
163,Bread,45,16-03-25,251,Restaurant,East Terrancemouth,Vegetarian,Dinner
164,Dairy,22,27-03-25,432,Restaurant,Carolchester,Vegan,Dinner
165,Bread,22,28-03-25,90,Supermarket,Lake Kristentown,Vegetarian,Lunch
166,Soup,9,17-03-25,58,Grocery Store,North Kevinhaven,Vegan,Lunch
167,Fish,4,20-03-25,134,Supermarket,West Melissa,Vegetarian,Lunch
168,Salad,26,20-03-25,306,Catering Service,North Keith,Non-Vegetarian,Lunch
169,Fruits,18,20-03-25,336,Supermarket,East Sandra,Vegan,Snacks
170,Fruits,49,17-03-25,403,Grocery Store,Jeremiahfort,Vegan,Breakfast
171,Salad,25,22-03-25,103,Catering Service,Port Michaelshire,Vegetarian,Snacks
172,Rice,45,28-03-25,826,Supermarket,Lake Karenfurt,Non-Vegetarian,Breakfast
173,Soup,17,19-03-25,538,Restaurant,Jasonmouth,Vegan,Dinner
174,Chicken,23,22-03-25,903,Catering Service,Lake Kari,Vegan,Breakfast
175,Dairy,26,30-03-25,465,Restaurant,Johnton,Vegetarian,Breakfast
176,Fish,19,30-03-25,316,Supermarket,Williamsfort,Non-Vegetarian,Snacks
177,Dairy,22,22-03-25,863,Restaurant,Port Michael,Vegan,Breakfast
178,Dairy,47,21-03-25,847,Supermarket,Williamsonmouth,Vegan,Breakfast
179,Bread,11,27-03-25,601,Catering Service,Port Troychester,Vegetarian,Breakfast
180,Salad,35,28-03-25,7,Restaurant,Lake Christopherburgh,Vegan,Dinner
181,Rice,35,16-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Lunch
182,Soup,29,18-03-25,247,Catering Service,Port Aaron,Vegan,Breakfast
183,Salad,15,30-03-25,730,Supermarket,Benjaminstad,Vegan,Snacks
184,Salad,7,29-03-25,182,Grocery Store,Port Jeffrey,Vegetarian,Dinner
185,Soup,19,27-03-25,498,Grocery Store,East Craig,Non-Vegetarian,Lunch
186,Pasta,48,17-03-25,306,Catering Service,North Keith,Vegetarian,Breakfast
187,Dairy,38,21-03-25,910,Restaurant,Leeburgh,Non-Vegetarian,Snacks
188,Soup,4,20-03-25,55,Grocery Store,Danachester,Vegan,Breakfast
189,Salad,7,20-03-25,948,Supermarket,West Lisamouth,Vegetarian,Breakfast
190,Salad,25,22-03-25,262,Supermarket,New Carol,Non-Vegetarian,Snacks
191,Salad,13,22-03-25,508,Restaurant,Walkerfurt,Vegan,Lunch
192,Vegetables,5,17-03-25,320,Supermarket,Lake Jeffreytown,Vegan,Snacks
193,Pasta,25,21-03-25,354,Catering Service,South Alicia,Vegan,Breakfast
194,Chicken,39,26-03-25,31,Grocery Store,South Kellyberg,Non-Vegetarian,Lunch
195,Vegetables,31,25-03-25,847,Supermarket,Williamsonmouth,Non-Vegetarian,Snacks
196,Fish,27,28-03-25,989,Grocery Store,North Lauren,Non-Vegetarian,Breakfast
197,Rice,21,24-03-25,453,Grocery Store,East Timothy,Vegetarian,Breakfast
198,Bread,50,23-03-25,287,Catering Service,Jefferyside,Vegetarian,Breakfast
199,Vegetables,16,17-03-25,244,Supermarket,Toddberg,Vegan,Breakfast
200,Bread,3,24-03-25,794,Supermarket,Woodport,Non-Vegetarian,Dinner
201,Soup,35,29-03-25,330,Restaurant,Jamesport,Vegetarian,Dinner
202,Dairy,17,18-03-25,319,Restaurant,Lake Amymouth,Vegetarian,Lunch
203,Pasta,8,24-03-25,215,Grocery Store,New Curtis,Vegetarian,Breakfast
204,Fish,11,26-03-25,896,Grocery Store,Weberfurt,Non-Vegetarian,Lunch
205,Dairy,13,20-03-25,22,Catering Service,Port Lisamouth,Vegan,Breakfast
206,Rice,28,29-03-25,931,Supermarket,South Allisonburgh,Non-Vegetarian,Breakfast
207,Salad,42,23-03-25,523,Restaurant,Lake Lorrainefort,Vegetarian,Dinner
208,Rice,27,26-03-25,215,Grocery Store,New Curtis,Vegetarian,Dinner
209,Fish,31,26-03-25,422,Catering Service,Smithfort,Non-Vegetarian,Dinner
210,Fruits,17,28-03-25,990,Catering Service,Lake Latasha,Vegetarian,Breakfast
211,Chicken,37,22-03-25,242,Restaurant,Michaelport,Vegetarian,Snacks
212,Salad,33,20-03-25,228,Supermarket,Andrewsmouth,Non-Vegetarian,Dinner
213,Fruits,20,26-03-25,122,Catering Service,Tyronebury,Non-Vegetarian,Snacks
214,Soup,9,28-03-25,24,Supermarket,Hestermouth,Vegan,Breakfast
215,Bread,50,30-03-25,315,Restaurant,Lake Andrewmouth,Vegetarian,Snacks
216,Vegetables,33,16-03-25,206,Catering Service,Port Emilyburgh,Vegetarian,Dinner
217,Soup,42,23-03-25,290,Supermarket,Bradleyport,Vegetarian,Lunch
218,Fish,38,24-03-25,159,Grocery Store,North Brooke,Vegan,Snacks
219,Fish,26,18-03-25,323,Restaurant,Jasmineberg,Vegetarian,Snacks
220,Pasta,18,24-03-25,976,Restaurant,Davisview,Vegan,Snacks
221,Bread,11,19-03-25,211,Restaurant,Lake James,Vegan,Snacks
222,Vegetables,23,20-03-25,333,Restaurant,Port Heidiland,Non-Vegetarian,Breakfast
223,Bread,38,17-03-25,524,Grocery Store,West Amandafurt,Vegan,Snacks
224,Fruits,29,19-03-25,556,Catering Service,Brittanyland,Non-Vegetarian,Snacks
225,Fish,26,24-03-25,340,Grocery Store,Murrayborough,Vegan,Dinner
226,Rice,26,22-03-25,242,Restaurant,Michaelport,Non-Vegetarian,Snacks
227,Vegetables,25,29-03-25,923,Supermarket,Jonestown,Non-Vegetarian,Breakfast
228,Rice,12,29-03-25,98,Supermarket,Gardnerfort,Vegetarian,Snacks
229,Pasta,26,22-03-25,210,Grocery Store,Paulmouth,Non-Vegetarian,Dinner
230,Fruits,17,16-03-25,596,Restaurant,Zimmermanville,Vegetarian,Breakfast
231,Rice,33,29-03-25,782,Supermarket,North Mary,Non-Vegetarian,Breakfast
232,Soup,19,28-03-25,610,Supermarket,Allenton,Vegan,Lunch
233,Fish,19,26-03-25,26,Grocery Store,West Adammouth,Non-Vegetarian,Snacks
234,Rice,10,16-03-25,888,Supermarket,West Sharonview,Vegetarian,Dinner
235,Dairy,38,21-03-25,170,Catering Service,North Brentbury,Vegan,Lunch
236,Soup,50,21-03-25,231,Supermarket,North Tom,Non-Vegetarian,Lunch
237,Salad,39,27-03-25,643,Supermarket,North Ebony,Vegan,Dinner
238,Vegetables,2,27-03-25,621,Supermarket,Sarahland,Vegetarian,Breakfast
239,Pasta,26,17-03-25,372,Restaurant,Lewisberg,Vegan,Dinner
240,Fruits,46,26-03-25,319,Restaurant,Lake Amymouth,Vegetarian,Lunch
241,Fish,4,23-03-25,135,Catering Service,East Candace,Vegetarian,Breakfast
242,Soup,17,21-03-25,655,Restaurant,Jimmyberg,Vegan,Dinner
243,Fruits,30,24-03-25,750,Supermarket,Michaelton,Non-Vegetarian,Snacks
244,Soup,17,26-03-25,46,Grocery Store,South Lisaberg,Non-Vegetarian,Snacks
245,Chicken,5,16-03-25,48,Restaurant,Timothyview,Vegetarian,Dinner
246,Salad,50,28-03-25,768,Restaurant,South Danielle,Non-Vegetarian,Snacks
247,Fish,17,30-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Lunch
248,Vegetables,32,21-03-25,960,Supermarket,Port Lance,Non-Vegetarian,Lunch
249,Salad,39,28-03-25,596,Restaurant,Zimmermanville,Vegan,Breakfast
250,Bread,8,16-03-25,316,Supermarket,Williamsfort,Vegan,Snacks
251,Dairy,12,24-03-25,241,Catering Service,Devinmouth,Non-Vegetarian,Lunch
252,Chicken,18,19-03-25,113,Catering Service,East Elizabethberg,Non-Vegetarian,Snacks
253,Rice,20,19-03-25,231,Supermarket,North Tom,Vegan,Snacks
254,Rice,30,24-03-25,703,Catering Service,Lake Jamestown,Non-Vegetarian,Lunch
255,Dairy,44,24-03-25,825,Supermarket,South Bryan,Non-Vegetarian,Lunch
256,Rice,33,28-03-25,384,Grocery Store,Jamesfurt,Non-Vegetarian,Dinner
257,Chicken,41,25-03-25,344,Catering Service,North Nicholas,Vegan,Snacks
258,Fish,24,21-03-25,101,Restaurant,East Angelafort,Vegetarian,Breakfast
259,Rice,44,27-03-25,815,Grocery Store,Ashleyhaven,Non-Vegetarian,Snacks
260,Fruits,50,29-03-25,723,Supermarket,Jessicaland,Vegetarian,Dinner
261,Pasta,15,21-03-25,112,Restaurant,East Courtneymouth,Non-Vegetarian,Lunch
262,Dairy,47,30-03-25,693,Restaurant,Raybury,Vegetarian,Breakfast
263,Salad,21,30-03-25,408,Supermarket,Riceshire,Vegetarian,Breakfast
264,Bread,49,24-03-25,484,Restaurant,North Douglasfurt,Vegetarian,Dinner
265,Fruits,32,26-03-25,862,Grocery Store,East Tammy,Non-Vegetarian,Breakfast
266,Soup,30,23-03-25,589,Restaurant,Morganhaven,Vegetarian,Lunch
267,Soup,6,30-03-25,107,Restaurant,West Lauraborough,Non-Vegetarian,Dinner
268,Fish,21,29-03-25,485,Restaurant,East Andrea,Non-Vegetarian,Breakfast
269,Soup,36,28-03-25,595,Grocery Store,Port Matthew,Non-Vegetarian,Snacks
270,Pasta,29,29-03-25,201,Catering Service,Sandrastad,Vegan,Lunch
271,Rice,22,17-03-25,254,Restaurant,Reidland,Vegan,Breakfast
272,Vegetables,30,25-03-25,151,Restaurant,Anthonyshire,Vegan,Dinner
273,Salad,32,16-03-25,446,Catering Service,Port Richardshire,Non-Vegetarian,Lunch
274,Salad,37,29-03-25,768,Restaurant,South Danielle,Vegan,Snacks
275,Fish,35,24-03-25,657,Supermarket,Davidland,Non-Vegetarian,Breakfast
276,Fruits,47,29-03-25,839,Grocery Store,Port Erin,Vegan,Breakfast
277,Pasta,30,22-03-25,244,Supermarket,Toddberg,Non-Vegetarian,Lunch
278,Soup,35,24-03-25,66,Restaurant,Lake Michaelfurt,Non-Vegetarian,Lunch
279,Chicken,3,25-03-25,326,Supermarket,Lake Alicia,Non-Vegetarian,Lunch
280,Pasta,44,27-03-25,393,Restaurant,Heatherview,Vegan,Dinner
281,Rice,28,23-03-25,356,Supermarket,West Michael,Non-Vegetarian,Breakfast
282,Fruits,27,25-03-25,640,Grocery Store,West Tinamouth,Non-Vegetarian,Lunch
283,Dairy,7,30-03-25,312,Restaurant,North Ianbury,Non-Vegetarian,Breakfast
284,Vegetables,36,27-03-25,161,Supermarket,Perezport,Vegetarian,Breakfast
285,Rice,44,19-03-25,353,Grocery Store,North Aaron,Vegetarian,Breakfast
286,Pasta,37,26-03-25,43,Supermarket,South Karen,Vegetarian,Snacks
287,Salad,20,17-03-25,882,Supermarket,Jenniferville,Vegan,Breakfast
288,Bread,48,22-03-25,703,Catering Service,Lake Jamestown,Vegetarian,Breakfast
289,Vegetables,31,17-03-25,237,Supermarket,Frederickside,Non-Vegetarian,Breakfast
290,Dairy,19,19-03-25,315,Restaurant,Lake Andrewmouth,Non-Vegetarian,Lunch
291,Salad,12,19-03-25,785,Catering Service,Lindseybury,Vegetarian,Breakfast
292,Chicken,16,17-03-25,906,Supermarket,West Kevin,Non-Vegetarian,Breakfast
293,Rice,32,27-03-25,276,Supermarket,Port Eric,Non-Vegetarian,Dinner
294,Bread,40,19-03-25,113,Catering Service,East Elizabethberg,Vegan,Dinner
295,Soup,39,17-03-25,344,Catering Service,North Nicholas,Non-Vegetarian,Dinner
296,Dairy,24,19-03-25,655,Restaurant,Jimmyberg,Vegan,Lunch
297,Pasta,46,19-03-25,409,Grocery Store,East Roberthaven,Non-Vegetarian,Breakfast
298,Chicken,2,22-03-25,883,Supermarket,New Jacob,Vegetarian,Lunch
299,Dairy,14,21-03-25,718,Restaurant,Port Victoria,Non-Vegetarian,Lunch
300,Pasta,16,17-03-25,459,Supermarket,Castilloport,Non-Vegetarian,Snacks
301,Rice,35,24-03-25,886,Restaurant,New Tiffanystad,Vegan,Breakfast
302,Bread,31,23-03-25,760,Supermarket,Yatesside,Vegan,Snacks
303,Fish,2,18-03-25,945,Grocery Store,Tamaraside,Vegan,Dinner
304,Fish,5,19-03-25,639,Supermarket,Richardsonhaven,Vegetarian,Dinner
305,Soup,14,30-03-25,38,Supermarket,Perkinsbury,Non-Vegetarian,Breakfast
306,Salad,27,22-03-25,284,Supermarket,North Julieburgh,Non-Vegetarian,Snacks
307,Chicken,20,20-03-25,384,Grocery Store,Jamesfurt,Non-Vegetarian,Breakfast
308,Soup,11,29-03-25,973,Supermarket,New Larry,Vegan,Snacks
309,Chicken,47,27-03-25,1000,Restaurant,Brendantown,Vegan,Snacks
310,Rice,13,20-03-25,528,Supermarket,Markport,Vegan,Dinner
311,Fish,3,18-03-25,740,Catering Service,Port Marissachester,Vegan,Dinner
312,Fruits,11,26-03-25,238,Grocery Store,North Julieburgh,Non-Vegetarian,Breakfast
313,Fruits,3,26-03-25,551,Restaurant,East Sandratown,Vegetarian,Snacks
314,Fish,27,23-03-25,387,Grocery Store,West Juliabury,Vegetarian,Lunch
315,Salad,47,18-03-25,761,Catering Service,New Zachary,Vegetarian,Dinner
316,Salad,4,28-03-25,494,Supermarket,New Denise,Vegetarian,Dinner
317,Dairy,22,21-03-25,866,Grocery Store,New Robertstad,Non-Vegetarian,Dinner
318,Pasta,48,25-03-25,946,Catering Service,Roystad,Vegan,Lunch
319,Chicken,47,30-03-25,63,Supermarket,Mcclainfurt,Vegetarian,Snacks
320,Vegetables,26,20-03-25,484,Restaurant,North Douglasfurt,Vegetarian,Lunch
321,Pasta,20,18-03-25,572,Supermarket,Lake Cathy,Non-Vegetarian,Lunch
322,Chicken,12,26-03-25,575,Catering Service,Johnport,Non-Vegetarian,Dinner
323,Dairy,31,27-03-25,4,Grocery Store,Mendezmouth,Vegan,Snacks
324,Soup,39,24-03-25,346,Grocery Store,Thomasville,Vegetarian,Snacks
325,Chicken,32,25-03-25,365,Restaurant,West Robert,Vegan,Dinner
326,Soup,25,29-03-25,407,Restaurant,North Charlesside,Vegan,Dinner
327,Dairy,24,22-03-25,834,Supermarket,Harrishaven,Vegetarian,Breakfast
328,Chicken,36,19-03-25,876,Grocery Store,Brookeland,Vegetarian,Snacks
